Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,289€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,307€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,572€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,1.091€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,274€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,291€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,542€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,28001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,1.021€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,231€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,248€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,458€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,867€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,22,08001,A1 (para conducir motos de hasta 125cc),22,Terceros sin asistencia en viaje,260€
