Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),26,Terceros sin asistencia en viaje,160€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),26,Terceros con asistencia en viaje,184€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),26,Terceros ampliado,238€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),26,Todo riesgo con franquicia,613€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),23,Terceros sin asistencia en viaje,125€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),23,Terceros con asistencia en viaje,142€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),23,Terceros ampliado,216€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),23,Todo riesgo con franquicia,364€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,96€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,114€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,182€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,290€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros sin asistencia en viaje,156€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros con asistencia en viaje,173€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros ampliado,296€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Todo riesgo con franquicia,555€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros sin asistencia en viaje,111€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros con asistencia en viaje,128€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros ampliado,213€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Todo riesgo con franquicia,351€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,87€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,104€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,167€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,279€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,374€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,391€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,704€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,1.327€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,315€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,332€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,594€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,1.125€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,298€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,315€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,562€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,1.053€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,251€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,268€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,475€
HONDA,CB 125,125 cc,CB 125 R ABS,15 CV,2021,2021,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,895€
